frostbite_j0_10, 267.9
frostbite_j0_1, 227.4
frostbite_j0_2, 259.8
frostbite_j0_3, 241.7
frostbite_j0_4, 239.0
frostbite_j0_5, 2978.0
frostbite_j0_6, 257.8
frostbite_j0_7, 259.8
frostbite_j0_8, 242.8
frostbite_j0_9, 224.7
frostbite_j1_10, |
frostbite_j1_1, 230.3
frostbite_j1_2, 264.9
frostbite_j1_3, 1655.3
frostbite_j1_4, |
frostbite_j1_5, |
frostbite_j1_6, |
frostbite_j1_7, |
frostbite_j1_8, |
frostbite_j1_9, |
frostbite_j2_10, |
frostbite_j2_1, |
frostbite_j2_2, |
frostbite_j2_3, |
frostbite_j2_4, |
frostbite_j2_5, 254.0
frostbite_j2_6, |
frostbite_j2_7, |
frostbite_j2_8, 269.3
frostbite_j2_9, |
frostbite_j3_10, 3057.9
frostbite_j3_1, |
frostbite_j3_2, |
frostbite_j3_3, |
frostbite_j3_4, |
frostbite_j3_5, |
frostbite_j3_6, 248.5
frostbite_j3_7, 2200.6
frostbite_j3_8, |
frostbite_j3_9, |
frostbite_j4_10, 256.2
frostbite_j4_1, 246.7
frostbite_j4_2, 1058.8
frostbite_j4_3, 2706.8
frostbite_j4_4, 1332.0
frostbite_j4_5, 2595.7
frostbite_j4_6, 261.4
frostbite_j4_7, 270.0
frostbite_j4_8, 1984.1
frostbite_j4_9, 2991.4
frostbite_j5_10, 464.2
frostbite_j5_1, 259.7
frostbite_j5_2, 267.2
frostbite_j5_3, 265.8
frostbite_j5_4, 512.8
frostbite_j5_5, 248.9
frostbite_j5_6, 1845.0
frostbite_j5_7, 259.4
frostbite_j5_8, 3211.8
frostbite_j5_9, 2480.2
